dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,2012000011,,913,African Development Bank,,1,AfDB Ordinary Capital,https://www.afdb.org/en,https://www.afdb.org/en/documents/projects-operations,PANDAMATENGA AGRICULTURAL INFRASTRUCTURE,Short: PANDAMATENGA AGRICULTURAL INFRASTRUCTURE Long: AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,2000130003230,Botswana,,0,"USD, constant 2021",2012,3,227,10003,South of Sahara,10019,UMICs,14,Other Official Flows (non Export Credit),4,21,421,C01,,6.8225398,,,7.0466032,,,,,,,,,,,,,,302,,6.8225398,,,PANDAMATENGA AGRICULTURAL INFRASTRUCTURE,31140,Agricultural water resources,311,III.1.a. Agriculture,12000,Recipient Government,,12000,,,,,,AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,,,,,,,,,,,,,,,,,,,,1,2,USD_6_LIBO + 0.2,,2014-02-01,2029-02-01,.041937001,13.792075,,,,,,,,CRS 2012 data,6394686464,0,0,0,1,0,1,,1706950.1,1
CRS,2012001250,,913,African Development Bank,,11,AfDB Middle Income Country Fund,,,WASTEWATER REUSE AND WATER HARVESTING FO,Short: WASTEWATER REUSE AND WATER HARVESTING FO Long: AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,5500155004851,Botswana,2012,949051,"USD, constant 2021",2012,1,227,10003,South of Sahara,10019,UMICs,11,ODA Grants,4,10,110,C01,.91887403,,,.94905102,,,,,,,,,,,,,,,302,.91887403,,,,WASTEWATER REUSE AND WATER HARVESTING FO,31140,Agricultural water resources,311,III.1.a. Agriculture,12000,Recipient Government,,12000,,,,,,AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,,,,,,,,,,,,,,,,,,,2012-05-15,,,,,,,,,,,,,,,,CRS 2012 data,6394686464,0,0,0,1,0,1,.94905102,1706950.1,1
CRS,2015000172,,913,African Development Bank,,1,AfDB Ordinary Capital,https://www.afdb.org/en,https://www.afdb.org/en/documents/projects-operations,NATIONAL DRAINAGE PROGRAMME (NDP),Short: NATIONAL DRAINAGE PROGRAMME (NDP) Long: AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,2000130013730,Egypt,2015,62543568,"USD, constant 2021",2015,1,142,10002,North of Sahara,10018,LMICs,14,Other Official Flows (non Export Credit),4,21,421,C01,55.169399,,,62.543568,,,,,,,,,,,,,,,302,55.169399,,,,NATIONAL DRAINAGE PROGRAMME (NDP),31140,Agricultural water resources,311,III.1.a. Agriculture,12000,Recipient Government,,12000,,,,,,AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,,,,,,,,,,,,,,,,,,,2015-11-15,1,2,EUR_6_EURI + 0.6,,2021-02-01,2035-08-01,,,,,,,,,,CRS 2015 data,108358107136,0,0,0,1,0,1,62.543568,2547335936,1
CRS,2017001627,,913,African Development Bank,,11,AfDB Middle Income Country Fund,,,USE OF RENEWABLE ENERGY FOR PUMPING IRRI,Short: USE OF RENEWABLE ENERGY FOR PUMPING IRRI Long: AfDB Sector_ Agriculture and Rural Development. AfDB Sub_sector_ Agriculture.,5.50E+12,Egypt,2015,0,"USD, constant 2021",2017,3,142,10002,North of Sahara,10018,LMICs,11,ODA Grants,4,10,110,C01,,.22679,,,.25406399,,,,,,,,,,,,,,302,,.22679,,,USE OF RENEWABLE ENERGY FOR PUMPING IRRI,31140,Agricultural water resources,311,III.1.a. Agriculture,12000,Recipient Government,,12000,,,,,,AfDB Sector_ Agriculture and Rural Development. AfDB Sub_sector_ Agriculture.,,,,,,,,,,,,,,,,,,,2015-05-21,0,,,,,,,,,,,,,,,CRS 2017 data,108358107136,0,0,0,1,0,1,,2547335936,1
CRS,2012001251,,913,African Development Bank,,11,AfDB Middle Income Country Fund,,,FEASIBILITY STUDY ZEFTA BARRAGE,Short: FEASIBILITY STUDY ZEFTA BARRAGE Long: AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,5500155002001,Egypt,,0,"USD, constant 2021",2012,3,142,10002,North of Sahara,10018,LMICs,11,ODA Grants,4,10,110,C01,,.200589,,,.207176,,,,,,,,,,,,,,302,,.200589,,,FEASIBILITY STUDY ZEFTA BARRAGE,31140,Agricultural water resources,311,III.1.a. Agriculture,12000,Recipient Government,,12000,,,,,,AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS 2012 data,108358107136,0,0,0,1,0,1,,2547335936,1
CRS,2012001252,,913,African Development Bank,,11,AfDB Middle Income Country Fund,,,MIC MASTER PLAN,Short: MIC MASTER PLAN Long: AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,5500155002751,Egypt,,0,"USD, constant 2021",2012,3,142,10002,North of Sahara,10018,LMICs,11,ODA Grants,4,10,110,C01,,.28021801,,,.28942099,,,,,,,,,,,,,,302,,.28021801,,,MIC MASTER PLAN,31140,Agricultural water resources,311,III.1.a. Agriculture,12000,Recipient Government,,12000,,,,,,AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS 2012 data,108358107136,0,0,0,1,0,1,,2547335936,1
CRS,2015001463,,913,African Development Bank,,11,AfDB Middle Income Country Fund,,,USE OF RENEWABLE ENERGY FOR PUMPING IRRI,Short: USE OF RENEWABLE ENERGY FOR PUMPING IRRI Long: AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,5500155008603,Egypt,2015,1268638,"USD, constant 2021",2015,1,142,10002,North of Sahara,10018,LMICs,11,ODA Grants,4,10,110,C01,1.11906,,,1.268638,,,,,,,,,,,,,,,302,1.11906,,,,USE OF RENEWABLE ENERGY FOR PUMPING IRRI,31140,Agricultural water resources,311,III.1.a. Agriculture,12000,Recipient Government,,12000,,,,,,AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,,,,,,,,,,,,,,,,,,,2015-05-21,,,,,,,,,,,,,,,,CRS 2015 data,108358107136,0,0,0,1,0,1,1.268638,2547335936,1
CRS,2016001616,,913,African Development Bank,,11,AfDB Middle Income Country Fund,,,NATIONAL DRAINAGE TECHNICAL ASSISTANCE,Short: NATIONAL DRAINAGE TECHNICAL ASSISTANCE Long: AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,5500155010302,Egypt,2016,634663,"USD, constant 2021",2016,1,142,10002,North of Sahara,10018,LMICs,11,ODA Grants,4,10,110,C01,.55615997,.04665,,.63466299,.053235002,,,,,,,,,,,,,,302,.55615997,.04665,,,NATIONAL DRAINAGE TECHNICAL ASSISTANCE,31140,Agricultural water resources,311,III.1.a. Agriculture,12000,Recipient Government,,12000,,,,,,AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,,,,,,,,,,,,,,,,,,,2016-05-25,,,,,,,,,,,,,,,,CRS 2016 data,108358107136,0,0,0,1,0,1,.63466299,2547335936,1
CRS,2012001298,,913,African Development Bank,,15,AfDB African Water Facility Fund,,,STUDY NUBARIA AND ISMAILIA CANALS REHAB.,Short: STUDY NUBARIA AND ISMAILIA CANALS REHAB. Long: AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,5600155000952,Egypt,,0,"USD, constant 2021",2012,3,142,10002,North of Sahara,10018,LMICs,11,ODA Grants,4,10,110,C01,,.071125999,,,.073462002,,,,,,,,,,,,,,302,,.071125999,,,STUDY NUBARIA AND ISMAILIA CANALS REHAB.,31140,Agricultural water resources,311,III.1.a. Agriculture,12000,Recipient Government,,12000,,,,,,AfDB Sector: Agriculture and Rural Development. AfDB Sub-sector: Agriculture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS 2012 data,108358107136,0,0,0,1,0,1,,2547335936,1
CRS,2011001503,,913,African Development Bank,,15,AfDB African Water Facility Fund,,,MASTER PLAN  FOR THE REHABIL STRUCT NILE,Short: MASTER PLAN  FOR THE REHABIL STRUCT NILE Long: AfDB Sector: Agriculture and Rural Development.  AfDB Sub-sector: Agriculture.,5600155001851,Egypt,2010,0,"USD, constant 2021",2011,3,142,10002,North of Sahara,10018,LMICs,11,ODA Grants,4,10,110,C01,,.065397002,,,.065953001,,,,,,,,,,,,,,302,,.065397002,,,MASTER PLAN  FOR THE REHABIL STRUCT NILE,31140,Agricultural water resources,311,III.1.a. Agriculture,12000,Recipient Government,,12000,,,,,,AfDB Sector: Agriculture and Rural Development.  AfDB Sub-sector: Agriculture.,,,,,,,,,,,,,,,,,,,2010-04-05,,,,,,,,.063571997,,,,,,,,CRS 2011 data,108358107136,0,0,0,1,0,1,,2547335936,1
