Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2000","2000","1000 ha","7794","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2021","2021","1000 ha","8051","I","Imputed value",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2000","2000","1000 ha","699","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2021","2021","1000 ha","687.53","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6620","Cropland","2000","2000","1000 ha","8192","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6620","Cropland","2021","2021","1000 ha","8509.571","I","Imputed value",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2000","2000","1000 ha","2.27","I","Imputed value",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2021","2021","1000 ha","2.9","I","Imputed value",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2000","2000","1000 ha","1","I","Imputed value",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2021","2021","1000 ha","0.7562","A","Official figure",""
"RL","Land Use","024","Angola","5110","Area","6620","Cropland","2000","2000","1000 ha","3200","I","Imputed value",""
"RL","Land Use","024","Angola","5110","Area","6620","Cropland","2021","2021","1000 ha","5690","I","Imputed value",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6620","Cropland","2000","2000","1000 ha","5","I","Imputed value",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6620","Cropland","2021","2021","1000 ha","5","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6620","Cropland","2000","2000","1000 ha","28640","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6620","Cropland","2021","2021","1000 ha","43276.7597","I","Imputed value",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2000","2000","1000 ha","488","I","Imputed value",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2021","2021","1000 ha","503.72","A","Official figure",""
"RL","Land Use","533","Aruba","5110","Area","6620","Cropland","2000","2000","1000 ha","2","I","Imputed value",""
"RL","Land Use","533","Aruba","5110","Area","6620","Cropland","2021","2021","1000 ha","2","I","Imputed value",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2000","2000","1000 ha","23769","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2021","2021","1000 ha","31650","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6620","Cropland","2000","2000","1000 ha","1470","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6620","Cropland","2021","2021","1000 ha","1387.4794","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2000","2000","1000 ha","2062.4","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2021","2021","1000 ha","2363","A","Official figure",""
"RL","Land Use","044","Bahamas","5110","Area","6620","Cropland","2000","2000","1000 ha","9","I","Imputed value",""
