country_name,country_code,pop_mean
Aruba,ABW,99941
Afghanistan,AFG,29863178
Angola,AGO,24921558
Albania,ALB,2930282
Andorra,AND,74167
Arab World,ARB,373194528
United Arab Emirates,ARE,7171238
Argentina,ARG,41523528
Armenia,ARM,2947563
American Samoa,ASM,53157
Antigua and Barbuda,ATG,85604
Australia,AUS,22425882
Austria,AUT,8474308
Azerbaijan,AZE,9135376
Burundi,BDI,9400892
Belgium,BEL,10954056
Benin,BEN,9895557
Burkina Faso,BFA,16876050
Bangladesh,BGD,150754720
Bulgaria,BGR,7367360
Bahrain,BHR,1167459
"Bahamas, The",BHS,373295
Bosnia and Herzegovina,BIH,3753348
Belarus,BLR,9548069
Belize,BLZ,327205
Bermuda,BMU,64178
Bolivia,BOL,10406010
Brazil,BRA,197414656
Barbados,BRB,274362
Brunei Darussalam,BRN,397760
Bhutan,BTN,705049
Botswana,BWA,2150837
Central African Republic,CAF,4641623
Canada,CAN,34478160
Switzerland,CHE,7939956
Channel Islands,CHI,158361
Chile,CHL,17309750
China,CHN,1346519296
Cote d'Ivoire,CIV,21930590
Cameroon,CMR,20865660
"Congo, Dem. Rep.",COD,70643888
"Congo, Rep.",COG,4524709
Colombia,COL,45406476
Comoros,COM,677203
Cabo Verde,CPV,527939
Costa Rica,CRI,4647288
Caribbean small states,CSS,7054632
Cuba,CUB,11267845
Curacao,CUW,147266
Cayman Islands,CYM,55074
Cyprus,CYP,1123213
Czechia,CZE,10436628
Germany,DEU,82181600
Djibouti,DJI,936395
Dominica,DMA,69565
Denmark,DNK,5589053
Dominican Republic,DOM,9900610
Algeria,DZA,37083180
Ecuador,ECU,15266097
"Egypt, Arab Rep.",EGY,90278776
Euro area,EMU,339180736
Eritrea,ERI,3116554
Spain,ESP,45337468
Estonia,EST,1340543
Ethiopia,ETH,93055168
Finland,FIN,5377056
Fiji,FJI,896345
France,FRA,65017528
Faroe Islands,FRO,49024
"Micronesia, Fed. Sts.",FSM,110396
Gabon,GAB,1799251
United Kingdom,GBR,63186528
Georgia,GEO,3814581
Ghana,GHA,26362052
