dataset,project_data_id,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_url,project_url,title,description,project_no,country_name,dataset_approved_yr,commitment_amount,data_amount_unit,country_multipleInvest,q1_0,q1_1,q1_2,q1_2b,q1_3,q1_4,q1_4b,q1_4c,q1_5,q1_6,q1_6b,q1_7,q1_8,q1_9,q1_10,q1_10b,q1_11,q1_12,q1_13,q1_14,q1_15,q1_15b,q1_16,q1_17,q1_18,q1_18b,q1_18c,q1_18d,q1_18e,q1_19,q1_20,q1_20b,q1_20c,q1_21,q1_22,q1_23,q1_23b,q1_23c,q1_23d,q1_23e,q1_24,q1_24b,q1_24c,q1_24d,q2_01,q2_02,q2_03,q2_04a,q2_04b,q2_04c,q2_04d,q2_04e,q2_05,q3_01,q3_02,q3_03,q3_03b
CRS,2005024719,,901,International Bank for Reconstruction and Development,,1,IBRD,https://www.worldbank.org/en/home,https://projects.worldbank.org/en/projects-operations/projects-home,Irrigated Agriculture Intensification Loan III,"Short: IRRIGATED AGRICULTURE INTENSIFICATION LOAN III Long: The objectives of the Mainstreaming Climate Change Adaptation in Irrigated Agriculture Project in China of are : to enhance adaptation to climate change in agriculture and irrigation water management practices through awareness-raising, institutional and capacity strengthening, and demonstration activities in the Huang-Huai-Hai Basin (3H Basin). This will help mainstream climate change adaptation measures, techniques, and activities into the national Comprehensive Agricultural Development (CAD) Program which is China's largest national investment program in irrigated agriculture. There are three components to the project. The first component is the identification and prioritization of adaptation options. The second component is the demonstration and implementation of adaptation measures. The purpose of this component is to introduce, demonstrate and implement the specific adaptation measures in selected demonstration areas, and adjust and integrate appropriate adaptation measures into the implementation of the Third Irrigated Agriculture Intensification Project (IAIL3), in order to reduce vulnerability to climate change in the 3H Basin. Finally, the third component is the mainstreaming adaptation into national CAD program and institutional strengthening. The component will aim at integrating and mainstreaming climate change adaptation into the national CAD program, including a series of capacity building, technical assistance, knowledge sharing, public awareness activities, and preparation of a national climate change adaptation plan for CAD by State Office of Comprehensive Agricultural Development (SOCAD), with the close cooperation of Chinese Academy of Sciences (CAS), the National Development and Reform Commission (NDRC) and Ministry of Finance (MOF) national climate change adaptation offices.",P084742.IBRD48030.crs4,China (People's Republic of),2005,"13,483,146","USD, constant 2020",,2,1,,,,,,,1,https://projects.worldbank.org/en/projects-operations/project-detail/P084742,Special Climate Change Fund (SCCF) Grant,2,P084742,1,,2,1,,2,"The Third Irrigated Agriculture Intensification Project for China will increase water and agricultural productivity in low-and medium-yield farm land areas; to raise farmers' incomes and strengthen their competitive capacity; and to demonstrate and promote sustainable participatory rural water resources management and agro-ecological environmental management. The project consists of the following components: Component 1) improvement and construction of local irrigation and drainage systems at the tertiary and on-farm level; (b) implementation of engineering water-saving measures; (c) implementation of agronomic water-saving measures; (d) implementation of water-saving management measures; (e) preparation and implementation of groundwater management plans in water-short project counties in Hebei Province. Component 2): (a) strengthening and modernization of agricultural services and support systems; (b) high quality and specialized crops demonstration, extension and production; (c) development and support of farmers associations (FAs) including specialized farmer associations and establishment/demonstration of pilot farmers' professional cooperative organizations; and (d) applied technology and institutional training for farmers, agricultural technicians and farmers' professional organizations. Component 3): (a) establishment of shelterbelt forest networks around farmlands, including on-farm wind protection forests; (c) environmental monitoring and management; (d) training on environment and soil and water conservation; (e) demonstration and extension services on environment and ecology; and ( f ) preparation and execution of groundwater management plans in project watershort counties. Component 4) will finance institutional strengthening and support under the project and capacity building.",1,,1,,,,,,,,,,,Project Appraisal Document,2,"456,200,000",USD,Total cost,,,1,,,,2,,1,Agricultural income per capita,Agricultural productivity,Water productivity,Production per unit of evapotranspiration,,Annex; results framework,1,1,0,
CRS,2005024732,,901,International Bank for Reconstruction and Development,,1,IBRD,https://www.worldbank.org/en/home,https://projects.worldbank.org/en/projects-operations/projects-home,Maharashtra Water Sector Improvement Project,"Short: MAHARASHTRA WATER SECTOR IMPROVEMENT PROJECT Long: The Maharashtra Water Sector Improvement Project seeks to strengthen the State's capacity for multi-sectoral planning, development, and sustainable management of the water resources, and to improve irrigation service delivery, and productivity of irrigated agriculture. The project components provide support for institutional reforms, and capacity building in water resources management as well as irrigation service delivery, and complementary investments in improving and modernizing physical assets as described hereby. The first component - Water Sector Institutional Restructuring and Capacity Building - will support the establishment and operations of the Maharashtra Water Resources Regulatory Authority (MWRRA), restructure the existing Maharashtra Krishna Valley Development Corporation (MKVDC) into the Maharashtra Krishna Valley Water Resources Corporation (MKVWRC), as a river basin agency, and build it's capacity, restructure and strengthen the capacity of the Water Resources Department (WRD), and likewise, of the Water and Land Management Institute (WALMI). The component will finance the establishment of an integrated computerized information system (ICIS). The second component - improving Irrigation Service Delivery and Management - will support the participatory rehabilitation, and modernization of selected irrigation schemes within the Culturable Command Area (CCA). The component will further enhance the safety of selected dams, and will also focus on the formation and capacity building of Water User's Associations (WUAS) among selected irrigation schemes. Improved water management practices will be implemented, with the inclusion of various instruments in six selected irrigation schemes. Agriculture support services will be strengthened, in liaison with the implementation of the social and environmental management plan. Innovative Pilots will be supported through the third component, to prod the user-centered, aquifer level groundwater management, and other pilots for innovative irrigated agriculture. Finally, the fourth component will support the Project Preparation and Management Unit (PPMIJ) at the state level, and, support monitoring and evaluation, as well as an information, education, and communication campaign to create awareness on project initiatives.",P084790.IBRD47960.crs4,India,2005,"136,500,000","USD, constant 2020",,2,1,,,,,,,1,https://projects.worldbank.org/en/projects-operations/project-detail/P084790,Specific Investment Loan,2,P084790,1,,2,1,,1,,1,,1,,,,,,,,,,,Project Appraisal Document,2,"393,770,000",USD,Total cost,,,1,,,,2,,1,Water delivery efficiency,Water use efficiency,Crop production per unit of irrigation supply,Agricultural income,,Annex; results framework,1,1,0,
CRS,2005020746,,901,International Bank for Reconstruction and Development,,1,IBRD,https://www.worldbank.org/en/home,https://projects.worldbank.org/en/projects-operations/projects-home,POOR RURAL COMMUNITIES DEVELOPMENT PROJECT,"Short: POOR RURAL COMMUNITIES DEVELOPMENT PROJECT Long: The Poor Rural Communities Development Project seeks to improve livelihood security, and achieve a sustained participation of the rural poor in project design, implementation, and in the monitoring and evaluation aspects within the three project provinces. The project entails six components: 1) Sustainable mountain agriculture - will support agricultural development, and sustainable livelihoods in villages where communities live in remote mountainous environments. The design and implementation of the component is based on the two principles of targeting and reaching poor households, and achieving environmental sustainability. The following activities are included: improving household agricultural productivity and diversification, developing farmer-to-farmer services, and, agricultural training and technical support services. 2) Basic rural infrastructure - includes construction and improvement of roads, tracks and paths, provision of potable water supplies for humans and livestock, construction of small water conservancy works (including irrigation and drainage) with associated land improvements, extension of rural electrification and communications networks, and, household energy and sanitation improvements. 3) Basic education - will address the challenges of a limited access to primary education by poor and vulnerable children, particularly girls and disabled children, of ineffective adult training and education for rural community development, of inadequate skills and capabilities of teachers for both schooling, and adult education, and, of the high burden of education expenses on poor families, in addition to the burden of poor infrastructure. To this end, the component comprises a nine-year compulsory pilot education program in selected project villages, seeking to integrate schools and communities through the transformation of schools into community learning centers. Innovative teaching methodologies will be provided to teachers, and, training services to adults will be provided in project villages, with a focus on functional literacy education. 4) Basic health - will provide financial assistance for medical care to the poor, ensuring basic health services, which will include free maternal care and immunization, and, support for inpatient care expenses, health education for communities on basic health, and HIV/AIDS will be also supported, and, training assistance will be provided. 5) Community capacity building - will strengthen grassroots capacity in community development management, and includes activities to improve basic production and skills within poor farm households, strengthen community leaders' basic skills on local administrative management, basic financial management, development of village-level planning, local dispute resolution, and small-scale infrastructure construction, including special training for women. 6) Project management and monitoring - will support and facilitate the timely provision of counterpart funding, smoot",P071094.IBRD73100.crs4,China (People's Republic of),2005,"14,444,445","USD, constant 2020",,2,1,,,,,,,1,https://projects.worldbank.org/en/projects-operations/project-detail/P071094,,2,P071094,1,,2,1,,2,"Improve livelihoods security and achieve sustained participation of the poorest rural people in project design, implementation, and M&E in eighteen counties of the three project provinces.",2,"Investments involve a variety of activities and components, cannot determine how much exactly goes to irrigation only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRS,2010028795,,901,International Bank for Reconstruction and Development,,1,IBRD,https://www.worldbank.org/en/home,https://projects.worldbank.org/en/projects-operations/projects-home,Local Government and Decentralization Project,"Short: LOCAL GOVERNMENT AND DECENTRALIZATION PROJECT Long: The objective of the Local Government and Decentralization Project for Indonesia is to improve the accountability and reporting of the central government's Specific Purpose Grants (DAK) for the infrastructure sub-sectors within pilot local governments (LGs). There are three components to the project, the first component being DAK reimbursement. This component will be implemented using an output based disbursement financing approach. Under this approach, the project will reimburse the existing DAK for infrastructure (roads, water, sanitation, and irrigation) based on reported and verified physical outputs delivered by participating LGs. The second component is the institutional strengthening to central and local governments and project management support. This component will support the strengthening of the basic institutional functioning of the project. Finally, the third component is the Verification of Outputs (VO). This component will constitute State Finance and Development Supervisory Board (BPKP) verification of outputs. BPKP will finance the VO function, plus any needed hiring of new staff and capacity enhancement from their own budget.",P111577.IBRD79140.crs3,Indonesia,2010,"72,600,000","USD, constant 2020",,2,1,,,,,,,1,https://projects.worldbank.org/en/projects-operations/project-detail/P111577,"Specific Investment
Loan",2,P111577,1,,2,1,,1,,1,,1,,,,,,,,,,,Project Appraisal Document,2,"220,000,000",USD,Total cost,,,2,"45,300,000",USD,"Project involves investment in different types of infrastructure. Assigned amount based on estimated cost of irrigation-related projects (Table 1, page 70)",2,,2,,,,,,,1,0,0,
CRS,2003013928,,901,International Bank for Reconstruction and Development,,1,IBRD,https://www.worldbank.org/en/home,https://projects.worldbank.org/en/projects-operations/projects-home,Integrated Irrigation Modernization Project,"Short: INTEGRATED IRRIGATION MODERNIZATION PROJECT Long: The Project's main objective is to assist the Government of Mexico in its efforts to adopt a new model to improve the competitiveness of irrigated agriculture and the efficiency of irrigation water use, in both Irrigation Districts (Distritos de Riego, DR) and Irrigation Units (Unidudes de Riego, UR), that would include the development of partnerships between the public and private sectors as well as effective institutional collaboration within the public sector, plus the strengthening of a demand-driven approach to investment decisions and financing. The project has the following four components: Component 1) will finance demand-driven investment sub-projects aimed at improving the efficiency of water distribution to rehabilitate and modernize irrigation infrastructure as well as to improve conservation and maintenance machinery and equipment within the framework of IIIPs. Component 2) will support demand-driven investments subprojects prepared by water users in irrigation districts (DR) and irrigation units (UR), within the framework of IIIPs, and presented to their respective local project authorities for financing. Under this component, the project, through CNA will provide technical and financial assistance to beneficiaries to improve on-farm irrigation systems and water use efficiency, but at the same time, through an agreement with SAGARPA, project beneficiaries would receive financial support and technical assistance from the ongoing government program Alianza Contigo to increase agricultural productivity, diversify production and improve their marketing capabilities. Component 3) the objective is to strengthen water users' associations and improve their technical, managerial and financial capabilities to administer and operate their respective irrigation systems as well as participate in the decision making process regarding Integrated Irrigation Modernization Project (PMIR) investment financing. Component 4) A Project Coordinating System (PCS) will be established within National Water Commission (CNA's) General Irrigation Infrastructure Sub-Division (Subdireccion General de Infraestructura Hidroagricola, SGIH). Its main responsibilities will be the coordination of the activities that will be executed under the project, monitoring and evaluation, carrying out of audits, supervise the preparation of the Integrated Investment Plans, and the preparation of the Annual Operating Plans and the periodic reports to the Bank on project activities.",P035752.IBRD72060.crs1,Mexico,2003,"12,121,212","USD, constant 2020",,2,1,,,,,,,1,https://projects.worldbank.org/en/projects-operations/project-detail/P035752,"Specific Investment
Loan",2,P035752,1,,2,1,,1,,1,,1,,,,,,,,,,,Project Appraisal Document,2,"528,030,000",USD,Total cost,,,1,,,,2,,1,Area under high-value crops,,,,,,1,1,0,
CRS,2003021652,,901,International Bank for Reconstruction and Development,,1,IBRD,https://www.worldbank.org/en/home,https://projects.worldbank.org/en/projects-operations/projects-home,Second Matruh Resource Management Project,"Short: SECOND MATRUH RESOURCE MANAGEMENT PROJECT Long: The Second Matruh Resource Management Project will improve the livelihoods of disadvantaged rural people living in the Northwest Coastal zone, reducing the incidence of poverty, through community development, capacity building, and access to services to help improve welfare, and increase incomes to conserve, rehabilitate, and use their natural resources in a sustainable manner. The project comprises six components as follows. Capacity building of communities includes an initial training, followed by a criteria, and processes for establishing development activities, prioritizing on resource allocation. It also includes women's development capacity, to allow them partake in the participatory planning process. The integrated natural resource management will focus on: water harvesting, and watershed management, through underground cisterns/reservoirs, dykes of water and soil retention, and, implementation of sustainable watershed management plans, develop a strategy for sustained use of communal resources, managing vegetation together with animals, and, integrate biodiversity conservation, through education, awareness, and capacity building, introducing alternative fuel sources. The development of productive activities comprises an extension outreach, and adaptive research for livestock, crop, and horticulture production, as well as off-farm productive activities, to diversify rural household incomes. The rural roads component will prod the possibility for further sources of income, while the revolving fund, and rural micro-finance component will support the establishment of professional credit retailers in the project area. Project management will fund technical assistance and monitoring, as well as equipment and vehicles.",P074075.IBRD71610.crs4,Egypt,2003,"2,470,000","USD, constant 2020",,2,1,,,,,,,1,https://projects.worldbank.org/en/projects-operations/project-detail/P074075,Specific Investment Loan,2,P074075,1,,2,1,,1,,2,"Involves a variety of infrastructure-related investments, cannot determine how much specifically goes to irrigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRS,1999004603,,901,International Bank for Reconstruction and Development,,1,IBRD,https://www.worldbank.org/en/home,https://projects.worldbank.org/en/projects-operations/projects-home,Guanzhong Irrigation Improvement Project,Short: GUANZHONG IRRIGATION IMPROVEMENT PROJECT Long: Guanzhong Irrigation Improvement Project,P051888.IBRD44760.crs3,China (People's Republic of),2019,0,"USD, constant 2020",,2,1,,,,,,,1,https://projects.worldbank.org/en/projects-operations/project-detail/P051888,,2,P051888,2,1999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRS,2000017987,,901,International Bank for Reconstruction and Development,,1,IBRD,https://www.worldbank.org/en/home,https://projects.worldbank.org/en/projects-operations/projects-home,Water Conservation Project,"Short: WATER CONSERVATION PROJECT Long: The Water Conservation Project for China enhances the beneficial use of water resources, agriculture production capacity, and farmer incomes by: increasing the value of agriculture production per unit of consumed water through increasing yields and reducing non-beneficial water losses, and establishing mechanisms for sustainable use and management of water resources in irrigated areas. Twenty-seven counties from the provinces of Hebei and Liaoning and the municipalities of Beijing and Qingdao have been identified and all of the subprojects have been prepared at the feasibility level. There are four project components: 1) Irrigation and drainage works and onfarm systems, including canal lining, low-pressure pipes, drains, wells, small structures, surface irrigation improvements, sprinkler systems, and micro-irrigation systems, 2) Agriculture support and services, including land-leveling, non-tillage in the dry season, deep plowing in the rainy season, and soil fertility improvements such as using green manure and stalk, organic and plastic mulching, cropping pattern adjustments, seeds improvement and development of drought resistent varieties, balanced fertilzation, and improved planting and cultivation techniques, 3) Forestry and environmental monitoring, and 4) Institutional development, including training, technical assistance and research as well as establishing and strengthening operation and maintenance entities made up mostly of water users.",P056516.IBRD45890.crs4,China (People's Republic of),2000,"3,182,796","USD, constant 2020",,2,1,,,,,,,1,https://projects.worldbank.org/en/projects-operations/project-detail/P056516,Specific Investment Loan,2,P056516,1,,2,1,,1,,1,,1,,,,,,,,,,,Project Appraisal Document,2,"185,670,000",USD,Total cost,,,1,,,,2,,1,"Agriculture production, in kilograms per cubic meter of ET","Annual farm income, yuan per capita",,,,Annex 1: Project Design Summary,1,1,0,
CRS,2002021065,,901,International Bank for Reconstruction and Development,,1,IBRD,https://www.worldbank.org/en/home,https://projects.worldbank.org/en/projects-operations/projects-home,Northwest Mountainous and Forestry Areas Development Project,"Short: NORTHWEST MOUNTAINOUS AND FORESTRY AREAS DEVELOPMENT PROJECT Long: The Northwest Mountainous and Forestry Areas Development Project aims at improving the socioeconomic conditions of populations in the five governorates of the project area, while ensuring sustainable management of the natural resources. To this end, project components will: 1) support capacity building activities to strengthen the Northwest Forestry and Pastoral Development Agency - ODESYPANO - by financing the adjustment of ODESYPANO's organizational structure, through the redefinition of responsibilities, human resources planning, and management. Technical assistance will be provided to update operations, and help formulate community development plans. In addition, information systems will be improved, training programs provided, and, capacity building for beneficiary communities and partners should enhance participation in the implementation of development activities, 2) support the implementation of integrated pilot operations, through forestry extension services, and provision of equipment, training, and trial demonstrations on improved forestry practices, land consolidation operations to facilitate agricultural farming, targeting communities requiring titling operations, and, promotion of micro-enterprise projects, including assistance on technically and financially sound proposals for presentation to financial institutions, 3) strengthen the extension services for improved crop production, livestock husbandry, and veterinary services. In addition, rehabilitation of small-scale irrigation schemes will be supported, depending on beneficiary demand, 4) support the improvement of environmental, and natural resources management, through practices in soil and water conservation, pastures and rangelands under-utilized, and agro-forestry development, and, 5) support rehabilitation and/or construction of basic rural infrastructure, to facilitate community access to markets, and social services, by improving rural roads, and access to potable water.",P072317.IBRD71510.crs3,Tunisia,2002,"5,100,000","USD, constant 2020",,2,1,,,,,,,1,https://projects.worldbank.org/en/projects-operations/project-detail/P072317,Specific Investment Loan,2,P072317,1,,2,1,,1,,1,,1,,,,,,,,,,,Project Appraisal Document,2,"44,860,000",USD,Total cost,,,2,"10,690,000",USD,Sub-component 3.2: Rehabilitation of small-scale irrigation schemes (Total cost $2.03 million) + Sub-component 4.1: Soil and water conservation (Total cost $7.49 million),2,,1,Agricultural production,yields,agricultural diversification,agricultural income,,Page 41,1,1,0,
CRS,2009020678,,901,International Bank for Reconstruction and Development,,1,IBRD,https://www.worldbank.org/en/home,https://projects.worldbank.org/en/projects-operations/projects-home,Second Agrarian Reform Communities Development Project,"Short: SECOND AGRARIAN REFORM COMMUNITIES DEVELOPMENT PROJECT Long: The closing date for Philippines' additional financing for the Second Agrarian Reform Communities Development Project is requested to be extended from June 30, 2010 until December 31, 2010. The recently-concluded implementation review mission (April 2010) has confirmed the continued satisfactory implementation progress of the project. Overall physical accomplishment of the original and additional financing loan is reported at 98 percent, with an elapsed time of 96 percent, based on the revised closing date of June 30, 2010. The remaining critical activities consist of eleven infrastructure subprojects funded mostly under the US$10 million additional financing. Four of these subprojects would not be completed by the closing date of June 30, 2010. This has occurred due to delays in the release of funds from the Central Government which affected implementation of physical works. The extension is necessary to complete the remaining eleven irrigation subprojects. The Government's various implementing organizations have agreed on specific catch-up plans to ensure completion of the subprojects during the extension period. This will be the first extension of the project.",P071007.IBRD76890.crs4,Philippines,2009,0,"USD, constant 2020",,2,1,,,,,,,1,https://projects.worldbank.org/en/projects-operations/project-detail/P071007,Specific Investmnent Loan,2,P071007,2,2002,2,1,,1,,1,,1,,,,,,,,,,,Project Appraisal Document,2,"74,800,000",USD,Total cost,,,2,"18,100,000",USD,Irrigation infrastructure-specific investments (page 49),2,,1,Real net income,Value of agricultural production,Production per hectare,Cropping intensity,,Page 25,1,1,0,
